Poste,Date,Timestamp,Categorie,Plaque
E10,2025-06-03,07:38:42,VL,EX-625-AN
E10,2025-06-03,07:39:13,VL,HC-802-YT
E10,2025-06-03,07:39:17,VL,DV-637-XG
E10,2025-06-03,07:39:19,VL,AE-666-EK
E10,2025-06-03,07:39:23,VL,EF-919-XP
E10,2025-06-03,07:39:26,VL,EN-865-QL
E10,2025-06-03,07:39:28,VL,FL-201-WE
E10,2025-06-03,07:39:31,VL,GZ-931-MS
E10,2025-06-03,07:39:33,VL,DH-336-HR
E10,2025-06-03,07:39:34,VL,FC-993-PT
E10,2025-06-03,07:39:37,VL,BA-317-CH
E10,2025-06-03,07:39:39,VL,GK-782-FJ
E10,2025-06-03,07:39:40,PL,ES-781-NT
E10,2025-06-03,07:39:45,VL,CS-405-AM
E10,2025-06-03,07:40:19,INCONNU,CN-974-YN
E10,2025-06-03,07:40:21,VL,CR-045-ZZ
E10,2025-06-03,07:40:23,VL,BT-166-RN
E10,2025-06-03,07:40:25,PL,EL-774-RZ
E10,2025-06-03,07:40:28,VL,FY-576-GZ
E10,2025-06-03,07:40:31,VL,CC-030-PH
E10,2025-06-03,07:40:34,VL,DR-919-YE
E10,2025-06-03,07:40:36,VL,FS-065-BN
E10,2025-06-03,07:40:46,BUS,BX-384-DT
E10,2025-06-03,07:40:49,INCONNU,BZ-810-PG
E10,2025-06-03,07:40:50,VL,DE-978-ME
E10,2025-06-03,07:40:52,VL,AX-359-PY
E10,2025-06-03,07:40:54,VL,BB-163-NT
E10,2025-06-03,07:40:57,VL,GC-017-PJ
E10,2025-06-03,07:40:59,VL,CN-887-EK
E10,2025-06-03,07:41:04,VL,FE-803-BN
E10,2025-06-03,07:41:06,VL,FL-707-JX
E10,2025-06-03,07:41:21,VL,HA-083-GV
E10,2025-06-03,07:41:24,VL,GN-451-QV
E10,2025-06-03,07:41:36,VL,BZ-642-RH
E10,2025-06-03,07:41:51,PL,DF-498-NL
E10,2025-06-03,07:41:54,VL,GZ-729-XX
E10,2025-06-03,07:41:56,VL,FC-119-QX
E10,2025-06-03,07:42:18,VL,GD-892-ZD
E10,2025-06-03,07:42:20,VL,CW-801-MS
E10,2025-06-03,07:42:40,PL,BY-430-WY
E10,2025-06-03,07:42:44,VL,GM-709-SR
E10,2025-06-03,07:42:48,VL,AX-163-FX
E10,2025-06-03,07:42:49,VL,FF-687-TC
E10,2025-06-03,07:42:54,VL,FD71CBY
E10,2025-06-03,07:42:55,VL,BK-576-QL
E10,2025-06-03,07:42:57,VL,GP-328-YM
E10,2025-06-03,07:42:59,PL,BT-977-JP
E10,2025-06-03,07:43:01,VL,GZ-122-XQ
E10,2025-06-03,07:43:30,PL,GW-701-GH
E10,2025-06-03,07:43:33,VL,FL-720-FA
E10,2025-06-03,07:43:35,VL,BS-269-GB
E10,2025-06-03,07:43:51,VL,ES-820-RY
E10,2025-06-03,07:43:55,VL,BQ-807-PZ
E10,2025-06-03,07:43:57,VL,HC-089-DT
E10,2025-06-03,07:44:00,VL,EH-940-TH
E10,2025-06-03,07:44:14,VL,BE-318-HD
E10,2025-06-03,07:44:52,BUS,FL-158-VH
E10,2025-06-03,07:44:55,VL,DE-694-XG
E10,2025-06-03,07:44:56,INCONNU,DE-802-DE
E10,2025-06-03,07:44:58,VL,FE-114-CF
E10,2025-06-03,07:45:00,VL,BS-220-VZ
E10,2025-06-03,07:45:02,PL,DW-173-JR
E10,2025-06-03,07:45:12,VL,FT-534-NN
E10,2025-06-03,07:45:52,VL,GS-350-LG
E10,2025-06-03,07:45:54,VL,DR-725-VD
E10,2025-06-03,07:45:57,VL,CT-529-YZ
E10,2025-06-03,07:45:58,VL,EF-898-MF
E10,2025-06-03,07:46:02,VL,EH-829-FD
E10,2025-06-03,07:46:04,VL,DX-707-DV
E10,2025-06-03,07:46:06,VL,GR-061-NV
E10,2025-06-03,07:46:09,VL,FR-356-WX
E10,2025-06-03,07:46:13,VL,CK-168-CK
E10,2025-06-03,07:46:16,VL,AH-157-NV
E10,2025-06-03,07:46:18,VL,EF-220-MQ
E10,2025-06-03,07:46:21,VL,FC-243-QN
E10,2025-06-03,07:46:24,VL,CT-637-ZQ
E10,2025-06-03,07:46:26,VL,HC-801-DW
E10,2025-06-03,07:47:01,BUS,EZ-791-TG
E10,2025-06-03,07:47:06,VL,ES-928-GE
E10,2025-06-03,07:47:12,VL,FZ-867-BV
E10,2025-06-03,07:47:15,VL,FR-921-MP
E10,2025-06-03,07:47:18,VL,BH-713-ZR
E10,2025-06-03,07:47:21,VL,GL-754-WH
E10,2025-06-03,07:47:23,VL,FQ-086-CC
E10,2025-06-03,07:47:28,PL,FC-840-RK
E10,2025-06-03,07:47:31,VL,DX-210-CX
E10,2025-06-03,07:47:33,VL,DR-458-NM
E10,2025-06-03,07:48:11,VL,HC-399-JM
E10,2025-06-03,07:48:12,VL,GB-154-KX
E10,2025-06-03,07:48:18,PL,GB-092-CR
E10,2025-06-03,07:48:19,PL,DY-723-JT
